region,sub,reg_sub,col,del,lat_c,lon_c,cp,num_diligencias_cpxgeo,num_addr_cpxgeo,num_diligencias_region,num_diligencias_subregion
1,1,1,"XOCO","BENITO JUAREZ",19.362272,-99.167397,"03330",146,25,4071,1529
1,1,1,"SAN LORENZO HUIPULCO","TLALPAN",19.295504,-99.143799,"14370",72,32,4071,1529
1,1,1,"COPILCO UNIVERSIDAD","COYOACAN",19.337732,-99.176796,"04340",12,5,4071,1529
1,1,1,"PORTALES SUR","BENITO JUAREZ",19.361593,-99.150269,"03300",158,43,4071,1529
1,1,1,"","COYOACAN",19.311344,-99.156593,"04600",31,15,4071,1529
1,1,1,"OXTOPULCO UNIVERSIDAD","COYOACAN",19.343401,-99.181923,"04318",23,7,4071,1529
1,1,1,"JARDINES DEL PEDREGAL DE SAN ANGEL","COYOACAN",19.308054,-99.200752,"04500",28,10,4071,1529
1,1,1,"COPILCO UNIVERSIDAD","COYOACAN",19.335468,-99.178871,"04360",60,22,4071,1529
1,1,1,"XOCO","BENITO JUAREZ",19.339878,-99.182564,"04350",7,3,4071,1529
1,1,1,"GENERAL PEDRO MARIA ANAYA","BENITO JUAREZ",19.360907,-99.159126,"03340",65,22,4071,1529
1,1,1,"SAN FRANCISCO","COYOACAN",19.340321,-99.165993,"04320",19,8,4071,1529
1,1,1,"ADOLFO RUIZ CORTINEZ","COYOACAN",19.318995,-99.157104,"04630",3,2,4071,1529
1,1,1,"DEL CARMEN","COYOACAN",19.354731,-99.162285,"04100",166,60,4071,1529
1,1,1,"BELISARIO DOMINGUEZ SECCION XVI","TLALPAN",19.289188,-99.157738,"14080",23,11,4071,1529
1,1,1,"BOSQUES DE TETLAMEYA","COYOACAN",19.300312,-99.15641,"04730",32,10,4071,1529
1,1,1,"SANTA URSULA COAPA","COYOACAN",19.309776,-99.144257,"04650",33,5,4071,1529
1,1,1,"","COYOACAN",19.338736,-99.154167,"04330",49,16,4071,1529
1,1,1,"CU","COYOACAN",19.326357,-99.178497,"04510",5,2,4071,1529
1,1,1,"OLIMPICA","COYOACAN",19.302544,-99.16819,"04710",11,4,4071,1529
1,1,1,"EX EJIDO SAN PABLO TEPETLAPA","COYOACAN",19.320124,-99.113846,"04849",3,1,4071,1529
1,1,1,"VISTAS DEL PEDREGAL","TLALPAN",19.264503,-99.208138,"14275",3,1,4071,1529
1,1,1,"INSURGENTES CUICUILCO","COYOACAN",19.305679,-99.187798,"04530",49,14,4071,1529
1,1,1,"PEDREGAL DE SANTO DOMINGO","COYOACAN",19.330332,-99.165932,"04369",43,19,4071,1529
1,1,1,"SANTA CATARINA","COYOACAN",19.347296,-99.171432,"04010",60,20,4071,1529
1,1,1,"ROMERO DE TERREROS","COYOACAN",19.344851,-99.177124,"04310",85,19,4071,1529
1,1,1,"PEDREGAL DE CARRASCO","COYOACAN",19.305643,-99.16835,"04700",35,13,4071,1529
1,1,1,"XOTEPINGO","COYOACAN",19.328028,-99.140465,"04610",21,6,4071,1529
1,1,1,"EL ROSARIO","COYOACAN",19.329494,-99.146919,"04380",28,11,4071,1529
1,1,1,"PEDREGAL DE SAN FRANCISCO","XOCHIMILCO",19.208525,-99.127686,"16910",1,1,4071,1529
1,1,1,"SAN DIEGO CHURUBUSCO","COYOACAN",19.355545,-99.150818,"04120",32,9,4071,1529
1,1,1,"EL RELOJ","COYOACAN",19.317282,-99.140579,"04640",13,4,4071,1529
1,1,1,"ROMERO DE TERREROS","COYOACAN",19.345049,-99.180763,"04317",3,1,4071,1529
1,1,1,"PARQUE SAN ANDRES","COYOACAN",19.344782,-99.150444,"04040",41,13,4071,1529
1,1,1,"CIUDAD JARDIN","COYOACAN",19.337664,-99.144989,"04370",35,12,4071,1529
1,1,1,"AJUSCO","COYOACAN",19.32074,-99.160172,"04300",90,24,4071,1529
1,1,1,"BARRIO SAN LUCAS","COYOACAN",19.346031,-99.151863,"04030",44,9,4071,1529
1,2,2,"EMILIANO ZAPATA","COYOACAN",19.3274,-99.137321,"04815",18,5,4071,939
1,2,2,"SAN PABLO TEPETLAPA","COYOACAN",19.321177,-99.138901,"04620",21,6,4071,939
1,2,2,"PASEOS DE TAXQUEÑA","COYOACAN",19.342825,-99.125854,"04250",21,8,4071,939
1,2,2,"VILLA QUIETUD","COYOACAN",19.299963,-99.105042,"04960",5,3,4071,939
1,2,2,"GRANJAS COAPA","XOCHIMILCO",19.295618,-99.105141,"14336",5,1,4071,939
1,2,2,"VERGEL COAPA","TLALPAN",19.303467,-99.124893,"14320",1,1,4071,939
1,2,2,"PRADO CHURUBUSCO","COYOACAN",19.356028,-99.127266,"04230",34,14,4071,939
1,2,2,"SANTA URSULA COAPA","COYOACAN",19.307184,-99.140961,"04980",39,13,4071,939
1,2,2,"EX HACIENDA COAPA","TLALPAN",19.298895,-99.136765,"14340",9,3,4071,939
