region,sub,reg_sub,col,del,lat_c,lon_c,cp,num_diligencias_cpxgeo,num_addr_cpxgeo,num_diligencias_region,num_diligencias_subregion
1,2,2,"CHIMALI","TLALPAN",19.289036,-99.130386,"14387",12,5,4071,939
1,2,2,"NUEVA ORIENTAL COAPA","TLALPAN",19.299484,-99.128143,"14300",23,10,4071,939
1,2,2,"EDUCACION","COYOACAN",19.337679,-99.131111,"04400",32,15,4071,939
1,2,2,"SAN FRANCISCO CULHUACAN","COYOACAN",19.330786,-99.124878,"04420",30,11,4071,939
1,2,2,"COAPA","TLALPAN",19.299028,-99.110413,"14334",2,1,4071,939
1,2,2,"ERMITA","BENITO JUAREZ",19.358515,-99.142662,"03590",7,3,4071,939
1,2,2,"GRANJAS COAPA","TLALPAN",19.298006,-99.109467,"14330",31,10,4071,939
1,2,2,"MAGISTERIAL","TLALPAN",19.292601,-99.113991,"14360",14,6,4071,939
1,2,2,"CAMPESTRE CHURUBUSCO","COYOACAN",19.340212,-99.131584,"04270",1,1,4071,939
1,2,2,"CAMPESTRE CHURUBUSCO","COYOACAN",19.344236,-99.136429,"04200",60,21,4071,939
1,2,2,"EL MIRADOR","COYOACAN",19.304142,-99.10994,"04950",5,2,4071,939
1,2,2,"GRANJAS COAPA","TLALPAN",19.298367,-99.114082,"14325",10,5,4071,939
1,2,2,"PRESIDENTES EJIDALES 1A SECCION","COYOACAN",19.324358,-99.124458,"04470",23,8,4071,939
1,2,2,"EXHACIENDA COAPA","COYOACAN",19.309673,-99.130554,"04899",18,7,4071,939
1,2,2,"UNIDAD CTM CULHUACAN SECC 9","COYOACAN",19.314817,-99.106071,"04909",10,5,4071,939
1,2,2,"","TLALPAN",19.299265,-99.119446,"14326",11,6,4071,939
1,2,2,"EX HACIENDA COAPA","TLAPAN",19.296957,-99.124741,"14308",6,2,4071,939
1,2,2,"","TLALPAN",19.294115,-99.132332,"14357",19,7,4071,939
1,2,2,"CAMPESTRE COYOACAN","COYOACAN",19.308096,-99.11586,"04938",3,2,4071,939
1,2,2,"EX HACIENDA COAPA","TLALPAN",19.289509,-99.123894,"14390",51,21,4071,939
1,2,2,"CHURUBUSCO COUNTRY CLUB","COYOACAN",19.348024,-99.144867,"04210",18,4,4071,939
1,2,2,"LOS GIRASOLES","COYOACAN",19.309881,-99.126564,"04920",28,10,4071,939
1,2,2,"GIRASOLES III","TLALPAN",19.305569,-99.129326,"14310",7,2,4071,939
1,2,2,"SAN FRANCISCO CULHUACAN","COYOACAN",19.329527,-99.110756,"04440",4,2,4071,939
1,2,2,"PRADOS DE COYOACAN","",19.320889,-99.132973,"04810",12,3,4071,939
1,2,2,"CARMEN SERDAN","COYOACAN",19.321726,-99.106514,"04910",3,1,4071,939
1,2,2,"CENTINELA","COYOACAN",19.335615,-99.139938,"04450",5,2,4071,939
1,2,2,"","TLALPAN",19.28628,-99.147865,"14389",2,2,4071,939
1,2,2,"PRADOS DE COYOACAN","COYOACAN",19.320553,-99.134232,"04870",5,2,4071,939
1,2,2,"EX HACIENDA COAPA","COYOACAN",19.319662,-99.130348,"04830",49,14,4071,939
1,2,2,"FUENTES DEL PEDREGAL","TLALPAN",19.306499,-99.224487,"14140",6,3,4071,939
1,2,2,"NARCIZO MENDOZA","TLALPAN",19.195114,-99.151329,"14500",4,2,4071,939
1,2,2,"CAMPESTRE COYOACAN","COYOACAN",19.304405,-99.118042,"04940",8,3,4071,939
1,2,2,"RANCHO COLORINES","TLALPAN",19.288824,-99.136658,"14386",25,4,4071,939
1,2,2,"HERMOSILLO","COYOACAN",19.34473,-99.127777,"04240",4,2,4071,939
1,2,2,"SAN FRANCISCO CULHUACAN","COYOACAN",19.336552,-99.121025,"04260",67,17,4071,939
1,2,2,"JARDINES DE COYOACAN","COYOACAN",19.312931,-99.127388,"04890",14,8,4071,939
1,2,2,"SAN BARTOLO EL CHICO","TLALPAN",19.284882,-99.135559,"14380",6,3,4071,939
1,2,2,"PETROLERA TAXQUEÑA","COYOACAN",19.340202,-99.13324,"04410",4,2,4071,939
1,2,2,"CARMEN SERDAN","COYOACAN",19.321556,-99.113342,"04490",3,2,4071,939
1,2,2,"MIRADOR","COYOACAN",19.306387,-99.109428,"04939",1,1,4071,939
1,2,2,"AVANTE","COYOACAN",19.330515,-99.136726,"04460",36,12,4071,939
1,2,2,"ARBOLEDAS DEL SUR","TLALPAN",19.293495,-99.140373,"14376",6,3,4071,939
1,2,2,"EX HACIENDA DE COAPA","COYOACAN",19.313219,-99.121735,"04800",8,5,4071,939
1,2,2,"","COYOACAN",19.304905,-99.112396,"04970",16,8,4071,939
1,2,2,"RESIDENCIAL CAFETALES","COYOACAN",19.311857,-99.110413,"04918",77,17,4071,939
1,3,3,"HEROES DE PADIERNA","TLALPAN",19.286406,-99.218872,"14208",10,3,4071,625
1,3,3,"PEDREGAL DE SAN NICOLAS 4TA SECCION","TLALPAN",19.286222,-99.237183,"14100",19,7,4071,625
1,3,3,"RINCON DEL PEDREGAL","TLALPAN",19.311903,-99.219841,"14120",3,1,4071,625
1,3,3,"LA LONJA","TLALPAN",19.292734,-99.18084,"14268",8,3,4071,625
1,3,3,"PARQUE DEL PEDREGAL","TLALPAN",19.298786,-99.190948,"14010",20,8,4071,625
1,3,3,"POPULAR SANTA TERESA","TLALPAN",19.300285,-99.225128,"14160",1,1,4071,625
1,3,3,"JARDINES EN LA MONTAÑA","TLALPAN",19.30225,-99.200188,"14210",347,48,4071,625
1,3,3,"SAN ANDRES TOTOLTEPEC","TLALPAN",19.247236,-99.1726,"14400",16,6,4071,625
1,3,3,"UNIDAD EMILIO PORTES GIL","TLALPAN",19.304546,-99.217674,"14130",2,1,4071,625
1,3,3,"LOS ENCINOS","TLALPAN",19.277533,-99.228226,"14239",1,1,4071,625
1,3,3,"TLALCOLIGIA","TLALPAN",19.276464,-99.171165,"14430",4,2,4071,625
1,3,3,"FUENTES DEL PEDREGAL","TLALPAN",19.307632,-99.215378,"14110",32,10,4071,625
1,3,3,"LOMAS DE CUILOTEPEC","TLALPAN",19.270041,-99.235962,"14737",4,1,4071,625
1,3,3,"SAN ANDRES AHUAYUCAN","XOCHIMILCO",19.223003,-99.111214,"16813",5,1,4071,625
1,3,3,"SAN ANDRES TOTOLTEPEC","TLALPAN",19.257948,-99.177391,"14659",3,2,4071,625
1,3,3,"LOMAS DE PADIERNA","TLALPAN",19.293539,-99.221474,"14240",29,12,4071,625
1,3,3,"RINCON DEL MIRADOR I","TLALPAN",19.271881,-99.221565,"14748",4,1,4071,625
1,3,3,"SANTA URSULA XITLA","TLALPAN",19.282394,-99.173996,"14420",36,12,4071,625
1,3,3,"AMPLIACION MIGUEL HIDALGO","TLALPAN",19.278175,-99.200974,"14250",27,12,4071,625
1,3,3,"HEROES DE PADIERNA","TLALPAN",19.282709,-99.218636,"14200",54,14,4071,625
1,4,4,"TORIELLO GUERRA","TLALPAN",19.295506,-99.159821,"14050",83,20,4071,443
1,4,4,"ARENAL TEPEPAN","TLALPAN",19.279428,-99.143814,"14600",15,5,4071,443
1,4,4,"LA OTRA BANDA","COYOACAN",19.335712,-99.195122,"04519",7,2,4071,443
1,4,4,"TLALPAN","TLALPAN",19.280373,-99.184372,"14410",12,2,4071,443
1,4,4,"EJIDOS DE SAN PEDRO MARTIR","TLALPAN",19.270599,-99.156769,"14640",5,2,4071,443
1,4,4,"","TLALPAN",19.282478,-99.144119,"14610",10,3,4071,443
1,4,4,"FUENTES DE TEPEPAN","TLALPAN",19.270018,-99.151093,"14643",8,3,4071,443
1,4,4,"EL CARACOL","COYOACAN",19.302994,-99.162537,"04739",26,9,4071,443
1,4,4,"TLALPAN","TLALPAN",19.218948,-99.204117,"14710",2,1,4071,443
1,4,4,"SAN FERNANDO","TLALPAN",19.296532,-99.172691,"14070",7,2,4071,443
1,4,4,"TLALPAN CENTRO","TLALPAN",19.285366,-99.171448,"14000",107,38,4071,443
1,4,4,"","TLALPAN",19.281328,-99.156158,"14620",9,6,4071,443
1,4,4,"TLALPAN LA JOYA","TLALPAN",19.297291,-99.185699,"14020",48,9,4071,443
1,4,4,"CHIMALCOYOTL","TLALPAN",19.276363,-99.166168,"14630",9,5,4071,443
1,4,4,"ISIDRO FABELA","TLALPAN",19.300982,-99.171715,"14030",10,3,4071,443
1,4,4,"SAN PEDRO MARTIR","TLALPAN",19.267284,-99.168556,"14650",27,8,4071,443
1,4,4,"PEÑA POBRE","TLALPAN",19.2985,-99.183144,"14060",7,3,4071,443
1,4,4,"CLUB DE GOLF MEXICO","TLALPAN",19.280727,-99.150307,"14609",2,1,4071,443
1,4,4,"LA JOYA","TLALPAN",19.280746,-99.164688,"14090",40,6,4071,443
1,4,4,"GRANJAS COAPA","TLALPAN",19.301138,-99.16433,"14049",9,5,4071,443
1,5,5,"PUEBLO SAN MIGUEL AJUSCO","TLALPAN",19.233919,-99.183372,"14480",2,1,4071,13
1,5,5,"SAN MIGUEL TEHUISCO","TLALPAN",19.207405,-99.15918,"14520",1,1,4071,13
1,5,5,"","TLALPAN",19.228922,-99.20179,"14700",4,2,4071,13
1,5,5,"CULHUACAN","COYOACAN",19.323698,-99.120819,"04480",6,2,4071,13
1,6,6,"","XOCHIMILCO",19.250818,-99.117722,"16200",7,5,4071,336
1,6,6,"XALTOCAN","XOCHIMILCO",19.261974,-99.10154,"16090",37,14,4071,336
1,6,6,"VILLA MILPA ALTA","MILPA ALTA",19.191139,-99.023666,"12000",9,3,4071,336
1,6,6,"BARRIO DE SAN CRISTOBAL","XOCHIMILCO",19.24346,-99.089645,"16457",1,1,4071,336
1,6,6,"LA ASUNCION","XOCHIMILCO",19.268736,-99.103035,"16040",1,1,4071,336
1,6,6,"SAN LORENZO LA CEBADA","XOCHIMILCO",19.280117,-99.118858,"16035",46,15,4071,336
1,6,6,"JARDINES DEL SUR","XOCHIMILCO",19.260742,-99.115181,"16050",20,8,4071,336
1,6,6,"PASEOS DEL SUR","XOCHIMILCO",19.276751,-99.125397,"16010",43,11,4071,336
1,6,6,"SAN MATEO XALPA","XOCHIMILCO",19.232273,-99.120438,"16800",10,3,4071,336
1,6,6,"PARRES EL GUARDA","TLALPAN",19.135948,-99.176758,"14900",1,1,4071,336
1,6,6,"","XOCHIMILCO",19.281748,-99.109444,"16034",4,2,4071,336
1,6,6,"PUEBLO SAN PEDRO ATOCPAN","MILPA ALTA",19.200489,-99.050095,"12200",6,2,4071,336
1,6,6,"XALTOCAN","XOCHIMILCO",19.251043,-99.099388,"16450",1,1,4071,336
1,6,6,"POTRERO DE SAN BENARDINO","XOCHIMILCO",19.268776,-99.120445,"16030",58,11,4071,336
1,6,6,"SAN MATEO XALPA","XOCHIMILCO",19.247046,-99.141945,"14655",2,1,4071,336
1,6,6,"BARRIO DE XALTOCAN","XOCHIMILCO",19.247047,-99.084496,"16440",3,1,4071,336
1,6,6,"GUADALUPITA","XOCHIMILCO",19.257696,-99.022118,"16710",5,3,4071,336
1,6,6,"LA GUADALUPITA","XOCHIMILCO",19.2635,-99.102928,"16070",9,5,4071,336
1,6,6,"SANTA MARIA TEPEPAN","XOCHIMILCO",19.27346,-99.134758,"16020",47,16,4071,336
1,6,6,"BARRIO LA CONCEPCION","COYOACAN",19.344831,-99.156967,"04020",15,5,4071,336
1,6,6,"TEJOMULCO EL BAJO","XOCHIMILCO",19.245573,-99.083961,"16429",11,1,4071,336
1,7,7,"","TLALPAN",19.293049,-99.185356,"14260",3,3,4071,8
1,7,7,"MIGUEL HIDALGO 1 SECCION","TLALPAN",19.294434,-99.182129,"14267",5,3,4071,8
1,,,"SAN JUAN MOYOTEPEC","XOCHIMILCO",19.255751,-99.070389,"16514",3,1,4071,885
1,,,"AMPLIACION SAN MARCOS NORTE","XOCHIMILCO",19.26704,-99.113472,"16038",10,3,4071,885
1,,,"SAN ESTEBAN","XOCHIMILCO",19.261614,-99.097572,"16080",2,1,4071,885
1,,,"BARRIO LA FAMA","TLALPAN",19.291016,-99.178406,"14269",2,1,4071,885
1,,,"","TLALPAN",19.234276,-99.165108,"14490",4,2,4071,885
1,,,"TRES DE MAYO","TLALPAN",19.240051,-99.239281,"14760",3,1,4071,885
1,,,"SAN LUCAS XOCHIMANCA","XOCHIMILCO",19.244373,-99.107162,"16340",1,1,4071,885
1,,,"CALPULCO","XOCHIMILCO",19.232769,-99.148849,"16216",2,1,4071,885
1,,,"SANTA CRUZ ACALPIXCA","XOCHIMILCO",19.245262,-99.074814,"16500",7,2,4071,885
1,,,"PRADO COAPA PRIMERA SECCION","TLALPAN",19.303469,-99.13089,"14350",2,1,4071,885
1,,,"","XOCHIMILCO",19.257689,-99.076118,"16517",2,2,4071,885
1,,,"COAPA LAS CAMPAÑAS","COYOACAN",19.308958,-99.12056,"04929",3,1,4071,885
1,,,"","COYOACAN",19.346823,-99.162941,"04000",44,17,4071,885
1,,,"SANTA CECILIA TEPETLAPA","XOCHIMILCO",19.219572,-99.102196,"16880",2,1,4071,885
1,,,"","XOCHIMILCO",19.255865,-99.121376,"16210",4,2,4071,885
1,,,"PUEBLO SAN ANTONIO TECOMITL","MILPA ALTA",19.229767,-98.99408,"13550",5,2,4071,885
1,,,"TORILLOGUERRA","TLALPAN",19.297249,-99.172234,"14039",2,1,4071,885
1,,,"COPILCO","COYOACAN",19.338169,-99.182556,"04359",9,1,4071,885
1,,,"LOS FRAMBOLLANES","TLALPAN",19.304813,-99.220741,"14150",8,1,4071,885
1,,,"PEDREGAL DE LA ZORRA","COYOACAN",19.306288,-99.160362,"04660",4,1,4071,885
1,,,"BARRIO SAN PEDRO","XOCHIMILCO",19.244894,-99.013145,"16799",8,1,4071,885
1,,,"SAN IGNACIO TLACHUTEPEC","XOCHIMILCO",19.224171,-99.105499,"16810",1,1,4071,885
1,,,"BARRIO SAN PEDRO XOCHIMILCO","XOCHIMILCO",19.199734,-99.103622,"16888",1,1,4071,885
1,,,"LAS ANIMAS","XOCHIMILCO",19.257931,-99.01976,"16749",8,1,4071,885
1,,,"SAN AGUSTIN","TLAHUAC",19.225334,-98.965141,"13630",2,1,4071,885
1,,,"AMPLIACION TEPEPAN","XOCHIMILCO",19.266342,-99.135284,"16029",8,1,4071,885
1,,,"PEDREGAL DE CARRASCO","COYOACAN",19.305325,-99.173355,"04718",1,1,4071,885
1,,,"TERCERA SECCION DE CERRILLOS TULYEHUALCO","XOCHIMILCO",19.25437,-99.01635,"16770",3,1,4071,885
1,,,"TENORIOS FOVISSSTE","TLALPAN",19.294647,-99.117851,"14329",2,1,4071,885
1,,,"BARRIO SAN JUAN","XOCHIMILCO",19.264977,-99.107185,"16000",3,1,4071,885
2,1,8,"DR ALFONSO ORTIZ TIRADO","IZTAPALAPA",19.38448,-99.080078,"09020",56,11,5339,486
2,1,8,"LOS REYES","TLAHUAC",19.263605,-99.00811,"13080",2,1,5339,486
2,1,8,"AMPLIACION GABRIEL RAMOS MILLAN","IZTACALCO",19.393764,-99.101852,"08730",4,2,5339,486
2,1,8,"","TLAHUAC",19.272169,-99.001335,"13040",10,3,5339,486
2,1,8,"EL ROSARIO","IZTAPALAPA",19.303709,-99.064224,"09930",2,1,5339,486
2,1,8,"AGRICOLA ORIENTAL","IZTACALCO",19.39419,-99.072357,"08500",255,77,5339,486
2,1,8,"AGRICOLA ORIENTAL","IZTACALCO",19.390156,-99.070358,"08580",1,1,5339,486
2,1,8,"JUAN ESCUTIA","IZTAPALAPA",19.391218,-99.042892,"09100",59,17,5339,486
2,1,8,"PASEOS DE CHURUBUSCO","IZTAPALAPA",19.388018,-99.08744,"09030",24,7,5339,486
2,1,8,"RICARDO FLORES MAGON","IZTAPALAPA",19.355078,-99.099785,"09828",5,2,5339,486
2,1,8,"SAN LORENZO XICOTENCATL","IZTAPALAPA",19.381008,-99.027199,"09130",4,1,5339,486
2,1,8,"SANTA CATARINA TLAHUAC","TLAHUAC",19.311939,-98.962799,"13150",3,1,5339,486
2,1,8,"SAN FRANCISCO TLALTENCO","TLAHUAC",19.296503,-99.014351,"13400",7,4,5339,486
2,1,8,"","IZTACALCO",19.384727,-99.095055,"08020",5,3,5339,486
2,1,8,"VALLE DEL SUR","IZTAPALAPA",19.345625,-99.113281,"09819",44,10,5339,486
2,1,8,"CAMPESTRE POTRERO","IZTAPALAPA",19.328196,-98.972137,"09637",5,2,5339,486
2,2,9,"ACULCO","IZTAPALAPA",19.375923,-99.104118,"09410",19,11,5339,576
2,2,9,"CENTRAL DE ABASTO","IZTAPALAPA",19.37797,-99.08699,"09040",210,69,5339,576
2,2,9,"LOS OLIVOS","TLAHUAC",19.293152,-99.060028,"13250",6,1,5339,576
2,2,9,"EL BANDIJAL","IZTAPALAPA",19.362011,-99.137238,"09450",10,4,5339,576
2,2,9,"NUEVA ROSITA","IZTAPALAPA",19.379002,-99.101997,"09420",21,5,5339,576
2,2,9,"","IZTACALCO",19.384405,-99.106613,"08900",10,4,5339,576
2,2,9,"LA CRUZ","IZTACALCO",19.403708,-99.115692,"08310",62,16,5339,576
2,2,9,"PRADO","IZTAPALAPA",19.358418,-99.134918,"09480",28,7,5339,576
2,2,9,"LOS OLIVOS","TLAHUAC",19.301714,-99.057106,"13210",28,6,5339,576
2,2,9,"SAN ANDRES TETEPILCO","IZTAPALAPA",19.37286,-99.129135,"09440",101,35,5339,576
2,2,9,"MILITAR MARTE","IZTACALCO",19.382093,-99.128876,"08830",34,11,5339,576
2,2,9,"CENTRAL DE ABASTO","IZTAPALAPA",19.38896,-99.089844,"08030",9,4,5339,576
2,2,9,"LOS CIPRESES","IZTAPALAPA",19.335066,-98.998787,"09696",1,1,5339,576
2,2,9,"SINATEL","IZTAPALAPA",19.359194,-99.131798,"09470",37,7,5339,576
2,3,10,"LEYES DE REFORMA 1A SECCION","IZTAPALAPA",19.370689,-99.070755,"09310",93,30,5339,1226
2,3,10,"APATLACO","IZTAPALAPA",19.379135,-99.120483,"09430",58,16,5339,1226
2,3,10,"EL SIFON","IZTAPALAPA",19.371439,-99.117279,"09400",44,16,5339,1226
2,3,10,"GUADALUPE DEL MORAL","IZTAPALAPA",19.367205,-99.077103,"09300",64,18,5339,1226
2,3,10,"SAN FRANCISCO XILCANTONGO","IZTACALCO",19.395126,-99.124527,"08230",16,7,5339,1226
2,3,10,"PURISIMA ATLAZOLPA","IZTAPALAPA",19.38076,-99.107903,"09429",19,8,5339,1226
2,3,10,"AMPLIACION BARRIO SAN MIGUEL","IZTAPALAPA",19.34343,-98.988029,"09630",3,1,5339,1226
2,3,10,"BARRIO SAN MIGUEL","IZTACALCO",19.391623,-99.115776,"08650",21,6,5339,1226
2,3,10,"BARRIO SAN PEDRO","IZTACALCO",19.393841,-99.128944,"08220",30,10,5339,1226
2,3,10,"GUADALUPE DEL MORAL","IZTAPALAPA",19.366556,-99.085167,"09000",550,37,5339,1226
2,3,10,"FRACCIONAMIENTO INDUSTRIAL DEL MORAL","IZTAPALAPA",19.388088,-99.082687,"09010",1,1,5339,1226
2,3,10,"REFORMA IZTACCIHUATL NORTE","IZTACALCO",19.385912,-99.128922,"08810",26,7,5339,1226
2,3,10,"GUADALUPE DEL MORAL","IZTAPALAPA",19.372129,-99.068802,"09330",1,1,5339,1226
2,3,10,"SAN MIGUEL","IZTAPALAPA",19.357502,-99.079903,"09360",67,17,5339,1226
2,3,10,"VIADUCTO PIEDAD","IZTACALCO",19.400293,-99.13311,"08200",77,22,5339,1226
2,3,10,"SANTA MARIA TOMATLAN","IZTAPALAPA",19.324793,-99.101631,"09870",18,6,5339,1226
2,3,10,"FRACCIONAMIENTO INDUSTRIAL DEL MORAL","IZTAPALAPA",19.384628,-99.071381,"09319",110,33,5339,1226
2,3,10,"CONSTITUCION DE 1917","IZTAPALAPA",19.349709,-99.058472,"09260",13,6,5339,1226
2,3,10,"CAMPAMENTO 2 DE OCTUBRE","IZTACALCO",19.383905,-99.116089,"08930",15,4,5339,1226
2,4,11,"UNIDAD MODELO","IZTAPALAPA",19.36433,-99.125122,"09089",9,3,5339,317
2,4,11,"MEXICALTZINGO","IZTAPALAPA",19.357143,-99.120583,"09099",20,4,5339,317
2,4,11,"LA ESPERANZA","IZTAPALAPA",19.311911,-99.077072,"09910",36,10,5339,317
2,4,11,"SECTOR POPULAR","IZTAPALAPA",19.365355,-99.116356,"09060",47,19,5339,317
2,4,11,"EMPERADOR CACAMA","IZTAPALAPA",19.359941,-99.12175,"09080",7,4,5339,317
2,4,11,"CUAUHTEMOC","CUAUHTEMOC",19.300037,-99.07827,"09970",9,2,5339,317
2,4,11,"GRANJAS SAN ANTONIO","IZTAPALAPA",19.364347,-99.107315,"09070",153,35,5339,317
2,4,11,"HEROES DE CHURUBUSCO","IZTAPALAPA",19.362432,-99.119324,"09090",36,8,5339,317
2,5,12,"","IZTAPALAPA",19.351688,-99.078316,"09837",19,4,5339,630
2,5,12,"LOMAS ESTRELLA","IZTAPALAPA",19.312479,-99.092682,"09897",2,1,5339,630
2,5,12,"LOA REYES CULHUACAN","IZTAPALAPA",19.348719,-99.107124,"09840",2,1,5339,630
2,5,12,"EL VERGEL","IZTAPALAPA",19.318405,-99.085854,"09880",68,23,5339,630
2,5,12,"EL MANTO","IZTAPALAPA",19.347887,-99.078072,"09858",2,1,5339,630
2,5,12,"GRANJAS ESMERALDA","IZTAPALAPA",19.353571,-99.115059,"09810",159,34,5339,630
2,5,12,"PARAJE SAN JUAN","IZTAPALAPA",19.345436,-99.072166,"09830",66,19,5339,630
2,5,12,"SANTA ISABEL INDUSTRIAL","IZTAPALAPA",19.35276,-99.103409,"09820",55,21,5339,630
2,5,12,"AMPLIACION LOS REYES CULHUACAN","IZTAPALAPA",19.346165,-99.103058,"09849",1,1,5339,630
2,5,12,"PUEBLO CULHUACAN","IZTAPALAPA",19.336506,-99.109543,"09800",90,22,5339,630
2,5,12,"LOMAS ESTRELLA SEGUNDA SECCION","IZTAPALAPA",19.320311,-99.094086,"09890",33,10,5339,630
2,5,12,"CERRO DE LA ESTRELLA","IZTAPALAPA",19.321762,-99.082436,"09889",1,1,5339,630
2,5,12,"","IZTAPALAPA",19.302219,-99.018692,"13419",2,2,5339,630
2,5,12,"SAN JUAN XALPA","IZTAPALAPA",19.330111,-99.084557,"09850",30,15,5339,630
2,5,12,"CERRO DE LA ESTRELLA","IZTAPALAPA",19.327456,-99.081108,"09864",4,1,5339,630
2,5,12,"CERRO DE LA ESTRELLA","IZTAPALAPA",19.324543,-99.076492,"09860",84,23,5339,630
2,5,12,"EL MANTO","IZTAPALAPA",19.352938,-99.084099,"09838",12,3,5339,630
2,6,13,"RENOVACION","IZTAPALAPA",19.369354,-99.054535,"09207",29,7,5339,1387
2,6,13,"JACARANDAS","IZTAPALAPA",19.345776,-99.052216,"09280",20,5,5339,1387
2,6,13,"CHINAM PAC DE JUAREZ","IZTAPALAPA",19.381302,-99.044006,"09208",31,9,5339,1387
2,6,13,"RENOVACION","IZTAPALAPA",19.369541,-99.05014,"09209",5,2,5339,1387
