cp,otros
05710,1
05730,1
05760,1
05780,1
06000,1
05600,1
05610,1
06020,1
06030,1
06040,1
06050,1
06060,1
06070,1
06080,1
06090,1
06100,1
06010,1
06140,1
06170,1
06240,1
06250,1
06270,1
06280,1
06200,1
06350,1
06400,1
06450,1
06600,1
06700,1
06470,1
06430,1
06720,1
06760,1
06780,1
06800,1
06820,1
06840,1
06850,1
06860,1
06870,1
06880,1
06890,1
06900,1
06920,1
07000,1
07010,1
07020,1
07050,1
07058,1
07060,1
07069,1
07089,1
07090,1
07100,1
07109,1
07110,1
07119,1
07130,1
07140,1
07144,1
07149,1
07150,1
07160,1
07164,1
07170,1
07180,1
07183,1
07189,1
07190,1
07199,1
07200,1
07207,1
07209,1
07188,1
07214,1
07220,1
07224,1
07239,1
07240,1
07250,1
07259,1
07268,1
07280,1
07290,1
07300,1
07310,1
07320,1
07330,1
07340,1
07369,1
07370,1
07380,1
07400,1
07410,1
07420,1
07363,1
07430,1
07440,1
07450,1
07455,1
07456,1
07460,1
07469,1
07470,1
07480,1
07500,1
07509,1
07510,1
07520,1
07530,1
07540,1
07560,1
07570,1
07580,1
07600,1
07670,1
07680,1
07640,1
07650,1
07707,1
07708,1
07730,1
07739,1
07740,1
07720,1
07754,1
07755,1
07760,1
07770,1
07780,1
07800,1
07810,1
07820,1
07750,1
07830,1
07838,1
07839,1
07840,1
07850,1
07858,1
07859,1
07860,1
07869,1
07880,1
07889,1
07890,1
07899,1
07900,1
07910,1
07918,1
07919,1
07920,1
07930,1
07939,1
07940,1
07950,1
07960,1
07969,1
07970,1
07979,1
07980,1
07990,1
08000,1
08010,1
08020,1
08030,1
08040,1
08200,1
08210,1
08220,1
08230,1
08240,1
08300,1
08310,1
08320,1
08400,1
08420,1
08500,1
08510,1
08600,1
08610,1
08620,1
08650,1
08700,1
08710,1
08720,1
08730,1
08760,1
08770,1
08800,1
08810,1
08830,1
08840,1
08900,1
08910,1
08920,1
08930,1
09000,1
09010,1
09020,1
09030,1
09040,1
09060,1
09070,1
09080,1
09089,1
09090,1
09099,1
09100,1
09130,1
09200,1
09208,1
09209,1
09210,1
09220,1
09230,1
09239,1
09240,1
09250,1
09260,1
09270,1
09280,1
09290,1
09300,1
09310,1
09319,1
09320,1
09350,1
09359,1
09360,1
09400,1
09410,1
09420,1
09429,1
09430,1
09438,1
09440,1
09450,1
09460,1
09470,1
09479,1
09500,1
09510,1
09520,1
09530,1
09550,1
09560,1
09570,1
09578,1
09600,1
09608,1
09609,1
09640,1
09630,1
09648,1
09660,1
09670,1
09680,1
09690,1
09698,1
09704,1
09689,1
09696,1
09700,1
09708,1
09709,1
09710,1
09720,1
09730,1
09740,1
09750,1
09760,1
09769,1
09770,1
09780,1
09790,1
09800,1
09810,1
09819,1
09820,1
09828,1
09829,1
09830,1
09837,1
09838,1
09839,1
09840,1
09849,1
09856,1
09858,1
09859,1
09850,1
09860,1
09868,1
09870,1
09890,1
09897,1
09900,1
09910,1
09920,1
09930,1
09940,1
09960,1
09969,1
09970,1
10000,1
10010,1
10020,1
10130,1
10200,1
10300,1
10320,1
10340,1
10360,1
10368,1
10370,1
10378,1
10379,1
10380,1
10400,1
10500,1
10580,1
10600,1
10610,1
10620,1
10630,1
10640,1
10660,1
10700,1
10710,1
10800,1
10810,1
10820,1
10830,1
10840,1
10900,1
10910,1
10920,1
11040,1
11100,1
11210,1
11000,1
11230,1
11240,1
11250,1
11270,1
11280,1
11289,1
11290,1
11300,1
11310,1
11320,1
11330,1
11340,1
11350,1
11360,1
11370,1
11400,1
11410,1
11420,1
11430,1
11440,1
11450,1
11460,1
11470,1
11480,1
11489,1
11490,1
11500,1
11510,1
11520,1
11529,1
11530,1
11540,1
11550,1
11560,1
11580,1
11590,1
11800,1
11810,1
11820,1
11830,1
11700,1
11619,1
11610,1
11840,1
11850,1
11860,1
11870,1
11910,1
11920,1
11930,1
11950,1
12070,1
12080,1
12100,1
12000,1
12910,1
12200,1
12250,1
12400,1
12500,1
12600,1
12700,1
12800,1
12410,1
12930,1
12940,1
12950,1
13000,1
13010,1
12920,1
13030,1
13040,1
13100,1
13060,1
13070,1
13080,1
13090,1
13093,1
13094,1
13099,1
13123,1
13150,1
13200,1
13110,1
13119,1
13129,1
13210,1
13219,1
13220,1
13230,1
13250,1
13270,1
13273,1
13278,1
13280,1
13310,1
13315,1
13319,1
13360,1
13363,1
13300,1
13410,1
13420,1
13440,1
13450,1
13460,1
13508,1
13509,1
13520,1
13430,1
13545,1
13540,1
13600,1
13529,1
13546,1
13530,1
13549,1
13610,1
13625,1
13630,1
13640,1
14000,1
14010,1
13700,1
14020,1
14030,1
14039,1
14040,1
14049,1
14050,1
14060,1
14070,1
14080,1
14090,1
14110,1
14120,1
14140,1
14150,1
14160,1
14200,1
14100,1
14208,1
14209,1
14210,1
14219,1
14220,1
14230,1
14239,1
14240,1
