V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52
0,3889.226083122269,6466.470571636973,4363.066915348507,8470.643710480945,11152.920224057178,4079.0392136638625,10993.016713868557,7517.031222687029,9047.135739725141,6285.917104383876,8161.629951510039,13555.513570251447,13193.12139846689,19418.442643764774,19341.110341042047,13134.701585568078,14220.653580532311,15821.737955032864,5816.088688946367,7567.89743652454,8811.144600815733,5124.92597290845,8722.376913099873,9570.018827638996,11975.222517079994,12344.210730492037,13644.8819925192,11285.20694280223,13267.4625552957,11992.15128663046,13455.39845263883,12409.431515528626,8971.527016713319,8615.233704124515,7536.418566598513,9974.927563109422,9679.752901422964,4868.7987596361445,5840.291214598726,6823.509536189021,5727.50572279898,11386.919916460727,12184.321113554259,14599.855217500479,12160.736348597089,15598.861064529356,16168.234290080845,18836.207548577622,16488.31805791459,16023.719272817738,19994.994033864405
3889.226083122269,0,8007.1523041879755,4914.345625361265,7888.704950116178,7726.448944964651,6024.002394508745,8593.083162052184,6699.142679953689,8213.637294755941,4756.359576894547,5355.891875607144,10878.588367236534,9497.030434444754,20931.792152622107,20202.403380561645,13728.657953541195,13913.152784087464,14941.846064546953,9704.02082317558,11306.23075092682,12282.214794693236,9014.146167741219,12611.58592981505,12646.758727080456,15816.340187699529,16226.745689102263,17484.567899693968,15172.70407766399,16236.689517118413,14815.896018830113,16155.523521174762,15555.549031578572,11187.561650632844,10488.231639540092,9037.352742739633,11468.738527463924,12187.321724917278,7409.6099457544115,8328.475430405715,9267.90297711047,8859.403765200237,13467.209946288978,13550.123825727369,16065.845854095818,14206.59474818402,18019.43859394641,18905.088964045382,21337.49060715963,18747.06416102039,17920.456838785398,22534.05499247451
6466.470571636973,8007.1523041879755,0,3140.1305432179233,4341.878783941314,11366.130465759674,2387.431362093327,16555.20389753702,13792.21133791369,15355.698916262987,12236.630337330098,13356.163559746516,18885.581208173684,16848.517046013392,25392.80343944257,25632.346282966813,19551.660982504272,20675.10335180363,22190.132663994442,7901.940576113504,10888.160034683227,6769.29822915464,7646.991714578736,10070.262694269253,14367.205223770581,13824.343366516749,12682.933183974137,13106.94967702032,12383.999335602815,17931.958287778143,16970.681784137683,18512.517463659555,16814.82696255591,14810.057962035044,14698.724982860069,13835.790929150424,16184.068106634712,15211.01561780598,10869.41569299114,11754.686575582118,12663.637594127034,10987.455584512729,17191.72520015108,18384.061783009667,20693.59521156961,17956.887086273975,20897.772428821914,21037.18715728212,23923.82923447526,21928.558996633867,21801.696003901936,24998.479961082892
4363.066915348507,4914.345625361265,3140.1305432179233,0,4139.126077495817,8976.28200537688,1873.3250381120279,13501.644370237798,11064.286503137451,12633.254112363964,9357.685129312795,10269.665902050403,15782.561341821365,13759.993972050728,23781.346276410357,23650.80748714468,17359.210516826814,18143.643146334867,19476.204209855245,8137.018862222836,10765.351583263433,8769.88737390386,7641.6717351294865,10830.980272997767,13565.300196543652,14517.322825945708,14007.20025541776,14808.238777310942,13367.05139820422,17256.77617385518,16091.387421816526,17595.877184364017,16279.265833762998,13306.75985691115,12978.022228088235,11875.292308396265,14328.333436298548,13944.431716017702,9209.711018944778,10171.578451011706,11146.251362647752,9833.802993496529,15724.858163367799,16535.346811448202,18961.018189343802,16499.36539170716,19830.467629617848,20259.69922255258,23015.961503322593,20762.56019631651,20367.227789042885,24151.738990103855
8470.643710480945,7888.704950116178,4341.878783941314,4139.126077495817,0,7902.863540779358,5351.940103863287,16144.497898694986,14542.262525844737,16080.978213539203,12642.21885590194,12867.394481875826,18093.167924856625,14826.143568795022,27872.785784598906,27617.298784612783,21243.968170800523,21744.23075337439,22830.212599938583,11805.535294932482,14635.788520675898,11101.801016955786,11415.238572782031,14234.369583186608,17658.21011656646,17991.659821348818,17004.197987106687,17446.69101945129,16634.583065267427,21335.78029360157,20203.867871338458,21715.950661314022,20322.365540646064,17435.861354603632,17075.39524744329,15913.873942216229,18384.214212895302,18083.528160324033,13334.789255020603,14301.044829295266,15278.776747291127,13961.85806330579,19853.212286819675,20582.366970861643,23033.44596318316,20627.48929066291,23966.083511876677,24363.82773558942,27140.903037682783,24901.591547222233,24492.91020924921,28270.421430944203
11152.920224057178,7726.448944964651,11366.130465759674,8976.28200537688,7902.863540779358,0,10847.831541106112,12137.580350874916,12989.502139126782,14147.626659826177,10997.939807374029,9497.682311182736,13119.98633585493,8226.498898068801,28006.092965410327,26760.305276045867,20344.29106010886,19628.169266876732,19831.569200403508,16607.647875603943,18712.885916469775,17731.890746941535,15991.369283429123,19472.99795202669,20368.620683874607,22986.667510447132,22853.285232439972,23760.11799858839,22059.300354848765,23962.12681325246,22532.61042817147,23849.472462659083,23275.439131203126,18811.362751255503,18020.415778293296,16488.180289030563,18803.683845070536,19867.730305384008,15133.592815289849,16042.52252558938,16967.30527394578,16560.26641959439,21004.597769108677,20730.604430435345,23224.258966506928,21716.557304785343,25626.541646319904,26596.51063656682,28951.73103084402,26285.12147514089,25293.309500255837,30155.758185636845
4079.0392136638625,6024.002394508745,2387.431362093327,1873.3250381120279,5351.940103863287,10847.831541106112,0,14413.974854427204,11450.621260818743,13008.499979017315,9965.021985255933,11286.267913813874,16825.127138294545,15283.581756488235,23156.33411435332,23298.46559612032,17178.198645030563,18291.114948966573,19831.502881591103,6491.476086444288,9283.90895270474,6916.056235657654,6070.140473994966,9073.129988800129,12421.109891691425,12797.006964006569,12165.165073250953,12937.142103097322,11576.937672962986,16065.15815879138,15001.052426688477,16531.481077161352,15015.647110165612,12583.20388793924,12407.698164674206,11488.473705075627,13864.302912249877,13069.324635777595,8575.508000677828,9487.597071326185,10421.721636704086,8861.523538236179,14985.667123110212,16070.67570532164,18414.230575138004,15756.353214691419,18856.82805710211,19129.717677600533,21961.225441625786,19848.51379375585,19618.53106634367,23066.696637298806
10993.016713868557,8593.083162052184,16555.20389753702,13501.644370237798,16144.497898694986,12137.580350874916,14413.974854427204,0,4630.44052403409,4245.116753447719,4779.109062682526,3284.5626403468837,2651.4143866415275,6249.395741473387,17687.23679671357,15619.64806697152,9832.126091608956,8028.151469450409,7746.31511375006,15826.000281689621,15921.246556189486,19708.34263067767,15138.090121169653,18350.39562202922,14855.86114059397,20490.01152264964,21966.2616186448,23633.88804321516,20554.45518445134,17408.59915486918,15852.552465688921,16597.196817111027,17363.845092367977,11800.236924045294,10662.411801141261,9241.899239036951,10392.905198721694,13109.601571841977,10533.884202236875,10826.202733642805,11198.04909515564,12387.71345131118,12999.158769146967,11424.916638754501,13508.189304209784,13451.36088863287,17401.951109055233,19007.543648288596,20486.669349539396,17600.627719835855,16013.316992381328,21657.80425544997
7517.031222687029,6699.142679953689,13792.21133791369,11064.286503137451,14542.262525844737,12989.502139126782,11450.621260818743,4630.44052403409,0,1569.6806271656055,2048.0469790864818,4034.5959263847267,7216.071168695793,9824.560028666827,15063.753711906555,13814.1127827621,7360.7226335739615,7214.357178811432,8416.20206651942,11528.601582039984,11346.682504030809,15748.673138407621,10871.16060337296,13892.45639838157,10282.573398538378,15877.622103613034,17455.65547787994,19179.679416513616,16007.155035123014,13052.562222387727,11487.885576616956,12396.317499719727,12888.235621338901,7380.571941784544,6279.48224701947,4752.032849857932,6388.668871594005,8681.896728835902,5957.1692922275015,6198.701385346322,6580.0402981688485,7785.8608051035435,8937.591701869185,7966.521060175704,10378.953617153324,9511.635775869243,13554.269722212186,14963.110498803266,16797.005470619817,13957.929118149743,12651.353913486577,17999.931203200536
9047.135739725141,8213.637294755941,15355.698916262987,12633.254112363964,16080.978213539203,14147.626659826177,13008.499979017315,4245.116753447719,1569.6806271656055,0,3477.0572017142435,4803.66445606658,6581.240480308249,10109.374180704297,14137.928278458829,12618.410943858817,6279.69506553692,5722.845221728106,6846.620447342062,12765.994769853767,12302.788718928163,17116.18707941139,12132.582814867259,14987.63330816605,10745.827296593032,16709.400296932487,18474.886892368253,20254.435204424022,16981.856023816315,13169.756852773047,11616.905410071491,12354.042039260125,13160.651916985862,7593.259191956163,6449.581178850077,5107.818815294408,6158.783719773324,8898.952582769887,6986.878315384018,7042.259957841155,7230.468732834714,8718.173035425345,8766.270500206518,7363.189331568311,9628.508094661842,9243.573908965973,13234.102177825145,14790.11764024816,16384.528102585326,13507.672790116705,12036.663689620576,17571.564567778358
