reg_sub,num_diligencias_sub,num_addr_sub,area_sqkm_sub,lat_c,lon_c,region,id
1,1.094833693932742,1.588235293515027,2.976213730871677,19.324633,-99.162735,1,1
2,0.6312809674418531,0.9757785515394062,3.008805178571492,19.310127,-99.128975,1,2
3,0.4352441565133631,0.4359861486591399,3.069563620258123,19.275661,-99.196045,1,3
4,0.3000707694445737,0.3910034615546465,1.623868069029413,19.285694,-99.168045,1,4
5,0.0063694267882966,0.0069204154424369,1.054223947227001,19.248486,-99.16629,1,5
6,0.2604387830360793,0.3287197253666818,2.910565108992159,19.250576,-99.090942,1,6
7,0.0042462843703106,0.0138408308848739,0.039642090909183,19.293741,-99.183746,1,7
8,0.3814578958554193,0.4913494880311191,1.408435573801398,19.356689,-99.063538,2,8
9,0.4295824579894543,0.6193771644029766,0.9395228857174516,19.366539,-99.106453,2,9
10,0.9851379954488948,0.8512110726442188,1.471135700121522,19.377737,-99.097328,2,10
11,0.2186836511828005,0.2664359856862575,0.3583941580727696,19.348186,-99.108223,2,11
12,0.4479830178897828,0.5743944551795721,2.064884244464338,19.335901,-99.085808,2,12
13,0.9660297174123116,1.21107268310152,3.686860708985478,19.357666,-99.038269,2,13
14,0.2116065107402392,0.3494809712283313,2.724497765302658,19.305651,-99.038513,2,14
15,0.7190375013160519,0.986159157473594,1.369276627898216,19.498142,-99.140862,3,15
16,0.8053786291275173,1.076124580344185,3.5702268311288212,19.490833,-99.108002,3,16
17,0.4607218742603436,0.5743944649584591,1.070080836303532,19.432585,-99.111732,3,17
18,0.5364472717628814,0.712802781490609,1.371892697177827,19.42696,-99.081291,3,18
19,0.0021231421851553,0.0034602077212185,0.0320061100646853,19.426109,-99.056885,3,19
20,0.6829440803267062,0.6678200634196401,0.7723517222329974,19.344727,-99.213959,4,20
21,0.651804676221218,0.7266436007339507,1.417068907059729,19.372072,-99.214523,4,21
22,0.2738853509654291,0.3010380659252405,1.559514852240682,19.314198,-99.246048,4,22
23,1.188251933082938,1.190311423968524,1.045884875115007,19.343651,-99.207268,4,23
24,0.0021231421851553,0.0034602077212185,0.1428756602108479,19.356911,-99.238571,4,24
25,0.2724699270911515,0.4532871930859983,0.2860759142786264,19.40494,-99.195686,5,25
26,1.033970281016082,0.9792387522757053,1.099022159352899,19.386234,-99.256454,5,26
27,0.2745930621749721,0.4221453273203224,0.5287489804904908,19.363775,-99.272926,5,27
28,0.092710547731258,0.1418685102835298,1.100562021601945,19.354574,-99.288956,5,28
29,1.295824500848539,1.086505180923268,0.9985121816862375,19.369894,-99.259094,5,29
30,1.5725406864658,1.494809683412313,0.4473257502540946,19.436728,-99.206276,6,30
31,0.7721160390647128,0.8131487884093076,0.7252983674407005,19.428358,-99.194275,6,31
32,0.6907289372757077,0.4013840779662132,0.1204240946099162,19.442221,-99.193314,6,32
33,0.8782731890678406,0.979238748550415,0.4719970226287842,19.426228,-99.211853,6,33
34,0.5442321300506592,0.4359861612319946,0.1057755276560783,19.405357,-99.163574,7,34
35,1.021231422724668,1.031141867861152,0.3920856821350753,19.401651,-99.153381,7,35
36,1.020523698767647,1.273356425575912,0.5671696234494448,19.390163,-99.144234,7,36
37,0.8619957661139779,1.027681659674272,0.5644567795097828,19.41246,-99.143112,7,37
38,0.6376503854990005,0.7681660950183868,0.1601297929883003,19.41102,-99.17453,7,38
39,0.5845718281343579,0.4705882305279374,0.2688390975818038,19.368441,-99.163239,8,39
40,2.253361648879945,2.387543268734589,0.6881651123985648,19.377159,-99.164497,8,40
41,0.8839349174522795,0.6470588089432567,0.1951883664587513,19.385967,-99.165741,8,41
42,0.3687190264463425,0.2525951564311981,0.0765315713360906,19.373415,-99.180359,8,42
43,0.8726114630699158,0.6816608905792236,0.1140642538666725,19.427095,-99.162552,9,43
44,0.9978768434375525,1.456747386604548,0.3702584002166986,19.431757,-99.137993,9,44
45,0.5803255566279404,0.7993079670704901,0.7958328924141824,19.454294,-99.140327,9,45
46,1.116065084934235,1.003460213541985,0.2101508565247059,19.434057,-99.162209,9,46
47,1.5498938546516,1.716262989444658,1.063802361837588,19.463415,-99.184998,10,47
48,0.184713372727856,0.231833907077089,0.5195597568526864,19.464809,-99.204018,10,48
49,0.0941259745159186,0.1141868534032255,0.507404716219753,19.490929,-99.197464,10,49
50,1.421797584975138,0.968858142150566,1.005753533914685,19.472269,-99.178314,10,50
51,0.2476999303908087,0.2837370266206563,0.3407385875470936,19.468786,-99.159508,10,51
52,0.0021231423597783,0.0069204154424369,0.0113745806738734,19.500509,-99.202942,10,52
