id,col,del,region,sub,reg_sub,cp,new_region,num_diligencias_cpxgeo,num_addr_cpxgeo,area_sqkm,otros
24,"SANTA FE","ALVARO OBREGON",4,5,24,"01279",8,.001415428,.003460208,.0053011836,1
21,"LOMAS DE BECERRA","ALVARO OBREGON",4,2,21,"01280",22,.02264685,.031141868,.0094328932,1
21,"PILOTO ADOLFO LOPEZ MATEOS","ALVARO OBREGON",4,2,21,"01290",22,.001415428,.003460208,.0087578064,1
29,"CUAJIMALPA","ALVARO OBREGON",5,,29,"01310",25,.0084925694,.010380623,.0077296006,1
29,"LOMAS DE SANTA FE","ALVARO OBREGON",5,5,29,"01320",25,.001415428,.003460208,.0020701266,1
26,"PASEO DE LAS LOMAS","ALVARO OBREGON",5,2,26,"01330",3,.10898797,.093425609,.0069830916,1
29,"SANTA FE","ALVARO OBREGON",5,5,29,"01340",25,0,0,.00054965529,1
29,"SANTA FE","ALVARO OBREGON",5,5,29,"01376",25,.49610758,.44982699,.053623676,1
29,"SANTA FE","ALVARO OBREGON",5,5,29,"01389",25,0,0,.0029496243,1
21,"MOLINO DE ROSAS","ALVARO OBREGON",4,2,21,"01400",22,.01203114,.013840831,.0092613818,1
21,"OLIVAR DEL CONDE","ALVARO OBREGON",4,2,21,"01408",22,.0042462852,.006920415,.0087286178,1
21,"BARRIO NORTE","ALVARO OBREGON",4,,21,"01410",22,.0021231419,0,.006306875,1
21,"MINAS DE CRISTO","ALVARO OBREGON",4,2,21,"01419",22,.026893135,.017301038,.0031670732,1
21,"SANTA MARIA NONOALCO","ALVARO OBREGON",4,2,21,"01420",22,.02264685,.034602076,.0071421396,1
21,"GARCIMARRERO","ALVARO OBREGON",4,2,21,"01430",22,.0063694268,.006920415,.012047793,1
21,"OLIVAR DEL CONDE","ALVARO OBREGON",4,2,21,"01450",22,.0042462852,.013840831,.0055528469,1
21,"ALFONSO XIII","ALVARO OBREGON",4,2,21,"01460",22,.025477707,.044982698,.0066220821,1
21,"MOLINO DE ROSAS","ALVARO OBREGON",4,2,21,"01470",22,.032554846,.031141868,.0075826715,1
21,"MERCED GOMEZ","ALVARO OBREGON",4,2,21,"01480",22,.0035385699,.006920415,.012580849,1
21,"","ALVARO OBREGON",4,2,21,"01490",22,.000707714,.003460208,.00095852895,1
21,"SANTA LUCIA","ALVARO OBREGON",4,2,21,"01500",22,.0092002833,.010380623,.018858215,1
21,"GARCIMARRERO","ALVARO OBREGON",4,2,21,"01510",22,.0077848551,.006920415,.0063674408,1
21,"SANTA LUCIA","ALVARO OBREGON",4,2,21,"01520",22,.0077848551,.010380623,.0072057652,1
21,"","ALVARO OBREGON",4,2,21,"01530",22,.002830856,.006920415,.0057658963,1
21,"BALCONES DE CEHUAYO","ALVARO OBREGON",4,,21,"01540",22,.000707714,0,.0043180399,1
21,"TEPEACA","ALVARO OBREGON",4,2,21,"01550",22,.000707714,0,.003524479,1
21,"BOSQUES DE TARANGO","ALVARO OBREGON",4,2,21,"01588",22,.0049539991,.010380623,.028882027,1
21,"MERCED GOMEZ","ALVARO OBREGON",4,2,21,"01600",22,.041047417,.062283736,.012555174,1
21,"EX-HACIENDA DE TARANGO","ALVARO OBREGON",4,,21,"01618",22,.0021231419,.006920415,.0021182818,1
21,"LA MARTINICA","ALVARO OBREGON",4,2,21,"01619",22,.0049539991,.006920415,.0021456697,1
21,"LOMA DE PUERTA GRANDE","ALVARO OBREGON",4,2,21,"01640",22,.002830856,0,.0017036117,1
23,"TETELPAN","ALVARO OBREGON",4,4,23,"01700",8,.0070771412,.024221454,.021544315,1
23,"TETELPAN","ALVARO OBREGON",4,4,23,"01708",8,0,0,.0010287287,1
20,"LAS AGUILAS","ALVARO OBREGON",4,1,20,"01710",22,.049539987,.089965396,.026173668,1
20,"LOMAS DE LAS AGUILAS","ALVARO OBREGON",4,1,20,"01730",22,.010615711,.024221454,.012245637,1
20,"SAN CLEMENTE","ALVARO OBREGON",4,1,20,"01740",22,.031847134,.024221454,.0057319542,1
20,"AMPLIACION LAS AGUILAS","ALVARO OBREGON",4,1,20,"01759",22,.0049539991,.010380623,.0058095544,1
23,"ATLAMAYA","ALVARO OBREGON",4,4,23,"01760",8,.013446568,.013840831,.016286029,1
23,"OLIVAR DE LOS PADRES","ALVARO OBREGON",4,4,23,"01770",8,.005661713,.003460208,.016682414,1
23,"OLIVAR DE LOS PADRES","ALVARO OBREGON",4,4,23,"01780",8,.016277423,.031141868,.036732581,1
23,"OLIVAR DE LOS PADRES","ALVARO OBREGON",4,4,23,"01788",8,.0042462852,0,,
23,"LOMAS DE SAN ANGEL INN","ALVARO OBREGON",4,4,23,"01790",8,.025477707,.034602076,.0095475819,1
22,"SAN BARTOLO AMEYALCO","ALVARO OBREGON",4,3,22,"01800",8,.0099079972,.017301038,.054892108,1
24,"LOMAS DE LA ERA","ALVARO OBREGON",4,5,24,"01807",8,.000707714,0,.004292978,1
21,"LOMAS DE AXOMIATLA","ALVARO OBREGON",4,2,21,"01820",22,.011323425,.010380623,.017670708,1
22,"LAS AGUILAS","ALVARO OBREGON",4,,22,"01830",8,.0077848551,.013840831,.025554745,1
22,"TORRES DE POTRERO","ALVARO OBREGON",4,3,22,"01840",8,.0042462852,.006920415,.014852304,1
24,"LOMAS DE LA ERA","ALVARO OBREGON",4,5,24,"01860",8,0,0,.010668915,1
23,"TLACOPAC","ALVARO OBREGON",4,4,23,"01863",8,.002830856,0,.0016540332,1
22,"LA MAGDALENA CONTRERAS","MAGDALENA CONTRERAS",4,3,22,"01880",8,.001415428,0,,
20,"JARDINES DEL PEDREGAL","ALVARO OBREGON",4,1,20,"01900",22,.28874734,.35640138,.088550173,1
20,"JARDINES DEL PEDREGAL","ALVARO OBREGON",4,1,20,"01904",22,.021231422,.034602076,.0013625688,1
50,"CENTRO DE AZCAPOTZALCO","AZCAPOTZALCO",10,4,50,"02000",23,.031847134,.055363324,.0061408416,1
50,"SAN RAFAEL","AZCAPOTZALCO",10,4,50,"02010",23,.0077848551,.017301038,.0052609211,1
50,"","AZCAPOTZALCO",10,4,50,"02020",23,.036093418,.062283736,.01293719,1
50,"SAN SEBASTIAN","AZCAPOTZALCO",10,4,50,"02040",23,.019815994,.024221454,.0036436468,1
50,"SANTA MARIA MANINALCO","AZCAPOTZALCO",10,4,50,"02050",23,.021939136,.041522492,.0061932285,1
50,"UN HOGAR PARA CADA TRABAJADOR","AZCAPOTZALCO",10,4,50,"02060",23,.011323425,.017301038,.0051809307,1
50,"EL RECREO","AZCAPOTZALCO",10,4,50,"02070",23,.029016277,.05882353,.011357076,1
50,"CLAVERIA","AZCAPOTZALCO",10,4,50,"02080",23,.20736022,.18685122,.013703052,1
50,"SAN ALVARO","AZCAPOTZALCO",10,4,50,"02090",23,.0099079972,.020761246,.0052629611,1
50,"ANGEL ZIMBRON","AZCAPOTZALCO",10,4,50,"02099",23,.038924273,.017301038,.0034400828,1
47,"EL ROSARIO","AZCAPOTZALCO",10,1,47,"02100",24,.005661713,.006920415,.026474703,1
49,"SAN MARTIN XOCHINAHUAC","AZCAPOTZALCO",10,3,49,"02120",23,.016985139,.020761246,.023578182,1
49,"SAN MARTIN XOCHINAHUAC","AZCAPOTZALCO",10,3,49,"02128",23,.002830856,0,.0065830257,1
49,"NUEVA ESPAÃâA","AZCAPOTZALCO",10,3,49,"02129",23,.018400567,.010380623,.00093069498,1
52,"TIERRA NUEVA","AZCAPOTZALCO",10,6,52,"02130",23,.0021231419,.006920415,.0023535418,1
49,"PASTEROS","AZCAPOTZALCO",10,3,49,"02150",23,.002830856,.003460208,.0046434854,1
48,"SANTO DOMINGO","AZCAPOTZALCO",10,2,48,"02160",24,.001415428,.003460208,.0055840444,1
49,"NUEVA ROSARIO","AZCAPOTZALCO",10,3,49,"02200",23,.0077848551,.006920415,.0044781482,1
50,"SANTA BARBARA","AZCAPOTZALCO",10,4,50,"02230",23,.036801133,.041522492,.018840726,1
49,"PUEBLO DE SAN ANDRES","AZCAPOTZALCO",10,3,49,"02240",23,.0021231419,.003460208,.0069272891,1
47,"SANTA CATARINA","AZCAPOTZALCO",10,1,47,"02250",24,.0042462852,.003460208,.0038104546,1
47,"INDUSTRIAL VALLEJO","AZCAPOTZALCO",10,1,47,"02300",24,.40410474,.35294119,.058274616,1
47,"INDUSTRIAL VALLEJO","AZCAPOTZALCO",10,1,47,"02320",24,.0077848551,.003460208,.00096343382,1
51,"SANTA CRUZ DE LAS SALINAS","AZCAPOTZALCO",10,5,51,"02340",23,.014861995,.020761246,.0036376142,1
47,"INDUSTRIAL VALLEJO","AZCAPOTZALCO",10,1,47,"02360",24,.010615711,.017301038,.0043788934,1
49,"SAN JUAN TLIHUACA","AZCAPOTZALCO",10,3,49,"02400",23,.0092002833,.017301038,.011255752,1
49,"PRADOS DEL ROSARIO","AZCAPOTZALCO",10,3,49,"02410",23,.013446568,.013840831,.0053532328,1
47,"HACIENDA DEL ROSARIO EX EL ROSARIO","AZCAPOTZALCO",10,1,47,"02420",24,.016277423,.013840831,.015415723,1
48,"PROVIDENCIA","AZCAPOTZALCO",10,2,48,"02440",24,.014154281,.031141868,.013572829,1
49,"TEZOZOMOC","AZCAPOTZALCO",10,3,49,"02459",23,.000707714,.003460208,.0052202628,1
49,"LA PRECIOSA","AZCAPOTZALCO",10,3,49,"02460",23,.0035385699,.006920415,.0028034893,1
49,"PETROLERA","AZCAPOTZALCO",10,3,49,"02470",23,.0049539991,.006920415,.0018539709,1
49,"PETROLERA","AZCAPOTZALCO",10,3,49,"02480",23,.000707714,0,.0040275552,1
47,"SAN MATEO","AZCAPOTZALCO",10,1,47,"02490",24,.0077848551,.010380623,.0011110151,1
50,"SECTOR NAVAL","AZCAPOTZALCO",10,4,50,"02500",23,.017692853,.020761246,.0053836056,1
50,"EL JAGÃÅEY","AZCAPOTZALCO",10,4,50,"02510",23,0,0,,
50,"BARRIO DEL JAGUEY","AZCAPOTZALCO",10,4,50,"02519",23,.005661713,.013840831,.0033677577,1
50,"JARDIN DE AZPEITIA","AZCAPOTZALCO",10,4,50,"02520",23,.0063694268,.003460208,.025531907,1
50,"JARDIN AZPEITIA","AZCAPOTZALCO",10,4,50,"02530",23,.014154281,.024221454,.0033752013,1
51,"PRO HOGAR","AZCAPOTZALCO",10,5,51,"02600",23,.021939136,.038062282,.0094997911,1
51,"COLTONGO","AZCAPOTZALCO",10,5,51,"02630",23,.076433122,.05882353,.0078255972,1
51,"TRABAJADORES DEL HIERRO","AZCAPOTZALCO",10,5,51,"02650",23,.0063694268,.006920415,.0022350878,1
51,"EUZKADI","AZCAPOTZALCO",10,5,51,"02660",23,0,0,.003590476,1
50,"COSMOPOLITA","AZCAPOTZALCO",10,4,50,"02670",23,.0042462852,.003460208,.0015888894,1
49,"SAN MIGUEL AMANTLA","AZCAPOTZALCO",10,3,49,"02700",23,.000707714,0,.0069079367,1
49,"SAN PEDRO XALPA","AZCAPOTZALCO",10,3,49,"02710",23,.002830856,.006920415,.0066119214,1
49,"SAN PEDRO XALPA","AZCAPOTZALCO",10,3,49,"02719",23,.0070771412,.013840831,.011272003,1
50,"","AZCAPOTZALCO",10,4,50,"02720",23,.0021231419,.003460208,.008302588,1
50,"SAN FRANCISCO TETECALA","AZCAPOTZALCO",10,4,50,"02730",23,.027600849,.048442908,.0036092016,1
48,"SANTA LUCIA","AZCAPOTZALCO",10,2,48,"02760",24,.031847134,.051903114,.0063941511,1
50,"SANTA CRUZ ACAYUCAN","AZCAPOTZALCO",10,4,50,"02770",23,.014154281,.024221454,.001601829,1
48,"SAN LORENZO TLALTENANGO","MIGUEL HIDALGO",10,2,48,"02780",24,.0021231419,.003460208,.0024737243,1
50,"SANTA CRUZ ACAYUCAN","AZCAPOTZALCO",10,4,50,"02790",23,.029999999,.062283736,.0033142969,1
50,"NUEVA SANTA MARIA","AZCAPOTZALCO",10,4,50,"02800",23,.041047417,.069204152,.015368648,1
50,"VICTORIA","AZCAPOTZALCO",10,4,50,"02810",23,.15003538,.020761246,.0042618299,1
37,"DOCTORES","CUAUHTEMOC",7,4,37,"02820",7,0,0,,
50,"OBRERO POPULAR","AZCAPOTZALCO",10,4,50,"02840",23,.028308563,.041522492,.005161284,1
50,"TLATILCO","AZCAPOTZALCO",10,,50,"02860",23,.0099079972,.013840831,.0045007467,1
50,"SAN SALVADOR XOCHIMANCA","AZCAPOTZALCO",10,4,50,"02870",23,.017692853,.024221454,.0048626675,1
51,"AGUILERA","AZCAPOTZALCO",10,5,51,"02900",23,.001415428,.003460208,.0012079907,1
51,"ALDANA","AZCAPOTZALCO",10,,51,"02910",23,.000707714,0,.0020734956,1
51,"AGUILERA","AZCAPOTZALCO",10,5,51,"02930",23,.0035385699,.003460208,.001645623,1
51,"PORVENIR","AZCAPOTZALCO",10,5,51,"02940",23,.0021231419,0,.0022254675,1
51,"DEL GAS","AZCAPOTZALCO",10,,51,"02950",23,.0021231419,.006920415,.0049512172,1
51,"SAN FRANCISCO XOCOTITLA","AZCAPOTZALCO",10,5,51,"02960",23,.0049539991,.003460208,.0014555709,1
51,"AMPLIACION DEL GAS","AZCAPOTZALCO",10,5,51,"02970",23,.017692853,.024221454,.0048468863,1
51,"ARENAL","AZCAPOTZALCO",10,5,51,"02980",23,.01203114,.010380623,.0047564413,1
51,"","AZCAPOTZALCO",10,5,51,"02990",23,.0049539991,.006920415,.0032137574,1
