reg_sub,num_diligencias_sub,num_addr_sub,area_sqkm_sub,lat_c,lon_c,region,id,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25
27,0.274593062174972,0.422145327320322,0.528748980490491,19.363775,-99.272926,5,27,-0,-0,1,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
28,0.092710547731258,0.14186851028353,1.10056202160194,19.354574,-99.288956,5,28,-0,-0,1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0
29,1.29582450084854,1.08650518092327,0.998512181686237,19.369894,-99.259094,5,29,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1
30,1.5725406864658,1.49480968341231,0.447325750254095,19.436728,-99.206276,6,30,-0,-0,-0,-0,1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0
31,0.772116039064713,0.813148788409308,0.725298367440701,19.428358,-99.194275,6,31,-0,-0,-0,1,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
32,0.690728937275708,0.401384077966213,0.120424094609916,19.442221,-99.193314,6,32,-0,-0,-0,1,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
33,0.878273189067841,0.979238748550415,0.471997022628784,19.426228,-99.211853,6,33,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,1,-0,-0,-0,-0,-0,-0,-0,-0
34,0.544232130050659,0.435986161231995,0.105775527656078,19.405357,-99.163574,7,34,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
35,1.02123142272467,1.03114186786115,0.392085682135075,19.401651,-99.153381,7,35,-0,-0,-0,-0,-0,0,-0,-0,1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
36,1.02052369876765,1.27335642557591,0.567169623449445,19.390163,-99.144234,7,36,-0,-0,-0,-0,-0,0.999999999999999,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0
37,0.861995766113978,1.02768165967427,0.564456779509783,19.41246,-99.143112,7,37,-0,-0,-0,-0,-0,-0,1,-0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
38,0.637650385499001,0.768166095018387,0.1601297929883,19.41102,-99.17453,7,38,-0,-0,-0,-0,-0,0,1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
39,0.584571828134358,0.470588230527937,0.268839097581804,19.368441,-99.163239,8,39,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,0,-0,-0,1,-0,-0,-0,-0,-0
40,2.25336164887994,2.38754326873459,0.688165112398565,19.377159,-99.164497,8,40,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,-0,-0,-0,-0,-0,-0
41,0.883934917452279,0.647058808943257,0.195188366458751,19.385967,-99.165741,8,41,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,-0,-0,-0,-0
42,0.368719026446343,0.252595156431198,0.0765315713360906,19.373415,-99.180359,8,42,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,0,-0,-0,-0,-0,1,-0,-0,-0,-0,-0
43,0.872611463069916,0.681660890579224,0.114064253866673,19.427095,-99.162552,9,43,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,1,-0,-0,-0,-0,-0,-0
44,0.997876843437552,1.45674738660455,0.370258400216699,19.431757,-99.137993,9,44,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
45,0.58032555662794,0.79930796707049,0.795832892414182,19.454294,-99.140327,9,45,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,-0,-0,-0,-0,-0
46,1.11606508493424,1.00346021354199,0.210150856524706,19.434057,-99.162209,9,46,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,1,-0,-0,-0,-0
47,1.5498938546516,1.71626298944466,1.06380236183759,19.463415,-99.184998,10,47,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,1,-0
48,0.184713372727856,0.231833907077089,0.519559756852686,19.464809,-99.204018,10,48,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,0,1.00000000000015,-0
49,0.0941259745159186,0.114186853403225,0.507404716219753,19.490929,-99.197464,10,49,-0,-0,-0,-0,-0,0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,1,-0,-0
50,1.42179758497514,0.968858142150566,1.00575353391469,19.472269,-99.178314,10,50,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,-0
51,0.247699930390809,0.283737026620656,0.340738587547094,19.468786,-99.159508,10,51,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,-0
52,0.0021231423597783,0.0069204154424369,0.0113745806738734,19.500509,-99.202942,10,52,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,-0,-0,-0,-0,-0,1,-0,-0
